Date,Open,High,Low,Close,Volume
"Oct 9, 2024","3,175.00","3,179.95","3,134.40","3,153.75","8,97,335"
"Oct 10, 2024","3,140.00","3,211.00","3,056.10","3,174.20","29,05,725"
"Oct 11, 2024","3,174.20","3,190.00","3,116.00","3,137.20","10,35,260"
"Oct 14, 2024","3,145.00","3,150.10","3,092.85","3,101.10","4,37,728"
"Oct 15, 2024","3,124.00","3,128.00","3,091.50","3,104.70","3,71,613"
"Oct 16, 2024","3,098.00","3,115.40","3,061.00","3,085.90","5,43,476"
"Oct 17, 2024","3,089.95","3,100.00","2,993.00","3,013.75","26,55,289"
"Oct 18, 2024","2,990.00","3,031.70","2,968.10","3,002.00","7,96,339"
"Oct 21, 2024","3,005.15","3,014.95","2,916.95","2,937.65","10,51,690"
"Oct 22, 2024","2,938.00","2,955.00","2,818.00","2,823.80","12,09,732"
"Oct 23, 2024","2,840.85","2,879.00","2,820.10","2,835.55","12,70,530"
"Oct 24, 2024","2,841.05","2,875.15","2,807.90","2,830.20","9,42,066"
"Oct 25, 2024","2,845.00","2,847.00","2,654.70","2,693.45","19,54,174"
"Oct 28, 2024","2,701.10","2,822.40","2,672.10","2,798.65","13,85,033"
"Oct 29, 2024","2,803.00","2,863.05","2,732.85","2,848.60","15,29,844"
"Oct 30, 2024","2,864.00","2,997.15","2,815.05","2,969.30","28,84,272"
"Oct 31, 2024","2,967.90","2,976.50","2,933.85","2,947.25","11,56,390"
"Nov 4, 2024","2,935.00","2,943.00","2,857.75","2,897.40","10,59,384"
"Nov 5, 2024","2,897.40","2,924.00","2,870.00","2,915.55","7,52,303"
"Nov 6, 2024","2,918.00","3,070.00","2,918.00","3,046.25","16,76,755"
"Nov 7, 2024","3,045.00","3,045.00","2,943.05","2,970.10","12,85,585"
"Nov 8, 2024","2,965.10","2,995.00","2,911.25","2,929.10","8,35,641"
"Nov 11, 2024","2,928.00","2,946.80","2,888.00","2,903.65","5,84,144"
"Nov 12, 2024","2,910.00","2,930.45","2,855.00","2,870.00","5,97,231"
"Nov 13, 2024","2,860.00","2,889.00","2,808.00","2,816.70","8,90,146"
"Nov 14, 2024","2,824.00","2,844.80","2,801.00","2,826.80","6,46,797"
"Nov 18, 2024","2,826.80","2,858.65","2,793.30","2,818.70","4,89,692"
"Nov 19, 2024","2,831.00","2,894.80","2,809.80","2,821.50","5,36,296"
"Nov 21, 2024","2,539.35","2,539.35","2,155.05","2,183.65","2,17,96,668"
"Nov 22, 2024","2,101.00","2,289.70","2,025.00","2,228.00","2,09,39,196"
"Nov 25, 2024","2,315.00","2,333.65","2,238.00","2,257.50","74,66,733"
"Nov 26, 2024","2,265.60","2,292.85","2,136.00","2,150.50","77,23,187"
"Nov 27, 2024","2,180.00","2,418.00","2,142.15","2,397.80","1,75,02,156"
"Nov 28, 2024","2,440.00","2,526.30","2,400.00","2,437.10","1,44,45,549"
"Nov 29, 2024","2,464.05","2,520.00","2,400.00","2,463.15","81,91,680"
"Dec 2, 2024","2,491.35","2,508.00","2,426.60","2,457.05","38,07,565"
"Dec 3, 2024","2,464.00","2,558.00","2,462.05","2,514.20","40,70,042"
"Dec 4, 2024","2,528.00","2,530.05","2,470.10","2,494.75","23,44,949"
"Dec 5, 2024","2,505.00","2,538.15","2,470.25","2,522.55","33,33,144"
"Dec 6, 2024","2,520.00","2,535.00","2,502.50","2,506.40","12,40,437"
"Dec 9, 2024","2,507.90","2,526.00","2,483.15","2,495.85","9,58,369"
"Dec 10, 2024","2,501.00","2,501.00","2,455.00","2,467.20","11,19,844"
"Dec 11, 2024","2,469.00","2,480.00","2,451.00","2,457.25","7,12,674"
"Dec 12, 2024","2,457.00","2,534.80","2,446.25","2,504.10","25,79,624"
"Dec 13, 2024","2,504.00","2,545.00","2,479.05","2,527.55","19,40,935"
"Dec 16, 2024","2,530.00","2,537.50","2,503.00","2,512.40","6,54,321"
"Dec 17, 2024","2,512.00","2,525.00","2,480.75","2,487.60","10,61,891"
"Dec 18, 2024","2,489.00","2,496.60","2,452.00","2,457.40","9,90,217"
"Dec 19, 2024","2,429.00","2,434.00","2,397.10","2,419.35","11,81,898"
"Dec 20, 2024","2,429.00","2,453.85","2,333.00","2,344.95","13,37,016"
"Dec 23, 2024","2,373.95","2,379.50","2,332.75","2,338.95","7,58,920"
"Dec 24, 2024","2,355.20","2,412.90","2,340.00","2,372.45","11,56,186"
"Dec 26, 2024","2,378.05","2,410.00","2,368.00","2,400.25","8,95,785"
"Dec 27, 2024","2,415.00","2,446.15","2,390.50","2,409.95","19,82,291"
"Dec 30, 2024","2,425.00","2,610.00","2,421.95","2,592.35","78,25,097"
"Dec 31, 2024","2,575.00","2,577.75","2,507.45","2,528.65","27,45,674"
"Jan 1, 2025","2,536.00","2,644.20","2,518.25","2,554.85","28,75,721"
"Jan 2, 2025","2,565.70","2,602.00","2,537.00","2,597.70","11,67,236"
"Jan 3, 2025","2,580.00","2,619.00","2,556.60","2,564.60","9,32,795"
"Jan 6, 2025","2,557.65","2,568.85","2,463.50","2,474.45","11,21,398"
"Jan 7, 2025","2,474.65","2,525.00","2,474.65","2,520.55","10,19,131"
"Jan 8, 2025","2,520.55","2,530.00","2,490.00","2,515.25","8,79,641"
"Jan 9, 2025","2,517.00","2,517.55","2,469.50","2,477.90","7,05,838"
"Jan 10, 2025","2,480.00","2,484.60","2,368.25","2,374.40","14,18,808"
"Jan 13, 2025","2,365.00","2,365.00","2,216.90","2,225.15","15,59,903"
"Jan 14, 2025","2,241.50","2,422.90","2,241.50","2,380.55","41,20,705"
"Jan 15, 2025","2,399.00","2,421.95","2,372.65","2,388.15","14,21,437"
"Jan 16, 2025","2,500.00","2,570.00","2,418.85","2,427.85","28,41,803"
"Jan 17, 2025","2,450.00","2,450.00","2,380.05","2,399.80","11,22,205"
"Jan 20, 2025","2,413.75","2,454.00","2,390.00","2,442.80","10,39,435"
"Jan 21, 2025","2,441.75","2,441.75","2,373.65","2,384.30","12,06,512"
"Jan 22, 2025","2,399.00","2,399.00","2,325.15","2,376.55","11,47,334"
"Jan 23, 2025","2,383.00","2,405.15","2,355.00","2,385.00","8,26,721"
"Jan 24, 2025","2,387.75","2,406.00","2,299.40","2,315.10","13,88,583"
"Jan 27, 2025","2,310.05","2,318.10","2,250.05","2,259.70","10,32,995"
"Jan 28, 2025","2,274.20","2,315.85","2,242.00","2,286.05","9,66,497"
"Jan 29, 2025","2,297.00","2,326.25","2,282.60","2,318.60","7,85,220"
"Jan 30, 2025","2,325.00","2,351.50","2,201.30","2,252.60","26,01,625"
"Jan 31, 2025","2,238.85","2,314.95","2,213.75","2,287.80","20,13,345"
